"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"925c0c38-a560-421d-95a2-7289054f4779","Galax urceolata","PreservedSpecimen",500,NA,36,-81.11,1956-05-13,1956,5,13
"9368ce29-8ed7-4cd7-abc8-c6c9ec2da645","Galax urceolata","PreservedSpecimen",2705,NA,34.23,-84.17,1947-05-30,1947,5,30
"93c348c8-ab27-4abb-896a-42681f639642","Galax urceolata","PreservedSpecimen",NA,NA,36.08,-82.57,2009-05-12,2009,5,12
"958287f8-12d6-47d7-84d0-10aac5153ac7","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",36.39,-80.26,NA,NA,NA,NA
"99c8ff63-b785-4fea-9360-ceec019263f6","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",37.37,-76.82,NA,NA,NA,NA
"99e0817f-b5c2-4294-86d2-e73bff15f89f","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",34.35,-78.15,NA,NA,NA,NA
"9db6cdca-9533-4d5b-a6e4-87eb01507fa5","Galax urceolata","PreservedSpecimen",905,NA,34.85,-83.8,1970-08-02,1970,8,2
"ac994e76-d422-4719-988c-028aa90afd76","Galax urceolata","PreservedSpecimen",2289,NA,36.84,-84.33,1961-08-24,1961,8,24
"b0bf13cb-28a8-4f7a-9185-d95453d05458","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",37.35,-80.53,2015-07-13,2015,7,13
"b3b8dd78-3437-407b-9e39-d517d443e4a7","Galax urceolata","PreservedSpecimen",15760,NA,35.67,-83.47,1932-04-25,1932,4,25
"b552bd58-6d4a-4ece-bd5b-06ea60b37d54","Galax urceolata","PreservedSpecimen",3036,NA,36.55,-84.05,1923-05-18,1923,5,18
"b5af74ab-3214-4651-9250-1c0598cbd863","Galax urceolata","PreservedSpecimen",NA,NA,33.81,-81.2,1999-10-07,1999,10,7
"baf3d957-ed3a-48cd-9f00-693b58125956","Galax urceolata","PreservedSpecimen",1807,NA,35.91,-81.89,1982-10-09,1982,10,9
"c9068db6-ba7d-4506-967a-740acbaa1f18","Galax urceolata","PreservedSpecimen",1370,NA,34.74,-83.46,1928-06-24,1928,6,24
"d0a9c4ed-a81b-436f-a311-ed5f93b7122c","Galax urceolata","PreservedSpecimen",1506,NA,38.99,-79.2,NA,NA,NA,NA
"df2b5e81-833f-4c65-849c-c3f5be0b2afd","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.73,-81.91,NA,NA,NA,NA
"e0b059a8-74ad-4c3a-a4c1-6feffa735378","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.81,-76.89,NA,NA,NA,NA
"e71f61b2-6935-404d-a3a1-fb2e454407e0","Galax urceolata","PreservedSpecimen",2499,NA,35.97,-83.9,1935-07-28,1935,7,28
"e9347dc5-a2ba-45b4-87d4-7f6aee06e7ef","Galax urceolata","PreservedSpecimen",NA,NA,35.17,-83.58,2002-10-07,2002,10,7
